file,area,brightness,centroid_x,centroid_y
nasa_image_2.png,44.0,6722,200.0,60.29545454545455
nasa_image_2.png,2.0,260,278.5,58.0
nasa_image_2.png,1.0,129,275.0,59.0
nasa_image_2.png,1.0,130,223.0,62.0
nasa_image_2.png,4.0,605,238.5,62.0
nasa_image_2.png,3.0,397,226.0,63.0
nasa_image_2.png,3.0,407,376.0,63.0
nasa_image_2.png,15.0,2076,188.33333333333334,65.13333333333334
nasa_image_2.png,1.0,132,231.0,64.0
nasa_image_2.png,1.0,137,393.0,65.0
nasa_image_2.png,80.0,12408,123.3875,72.725
nasa_image_2.png,5.0,695,312.8,67.6
nasa_image_2.png,19.0,2957,137.10526315789474,69.3157894736842
nasa_image_2.png,7.0,1013,321.85714285714283,68.85714285714286
nasa_image_2.png,3.0,397,178.66666666666666,69.66666666666667
nasa_image_2.png,6.0,857,309.5,69.66666666666667
nasa_image_2.png,2.0,264,181.5,70.5
nasa_image_2.png,10.0,1470,176.1,73.2
nasa_image_2.png,2.0,279,254.5,72.0
nasa_image_2.png,17.0,2423,291.8235294117647,73.41176470588235
nasa_image_2.png,3.0,415,340.0,73.0
nasa_image_2.png,2.0,269,379.5,73.0
nasa_image_2.png,13.0,1810,156.07692307692307,75.23076923076923
nasa_image_2.png,14.0,1986,232.5,75.5
nasa_image_2.png,1.0,136,245.0,74.0
nasa_image_2.png,5.0,700,330.2,74.4
nasa_image_2.png,4.0,553,188.0,75.5
nasa_image_2.png,1.0,136,191.0,75.0
nasa_image_2.png,4.0,537,309.0,75.25
nasa_image_2.png,3.0,416,402.3333333333333,75.66666666666667
nasa_image_2.png,5.0,697,213.0,76.0
nasa_image_2.png,5.0,742,272.8,76.4
nasa_image_2.png,7.0,955,284.14285714285717,76.85714285714286
nasa_image_2.png,12.0,1604,299.9166666666667,78.33333333333333
nasa_image_2.png,1.0,132,345.0,76.0
nasa_image_2.png,2.0,259,391.5,76.5
nasa_image_2.png,11.0,1689,278.1818181818182,78.63636363636364
nasa_image_2.png,10.0,1417,251.0,80.1
nasa_image_2.png,15.0,2124,350.06666666666666,79.4
nasa_image_2.png,2.0,267,194.5,79.0
nasa_image_2.png,1.0,133,244.0,79.0
nasa_image_2.png,1.0,138,312.0,79.0
nasa_image_2.png,4.0,544,382.0,79.5
nasa_image_2.png,10.0,1431,387.6,79.8
nasa_image_2.png,1.0,131,310.0,80.0
nasa_image_2.png,1.0,138,335.0,80.0
nasa_image_2.png,9.0,1226,395.55555555555554,81.77777777777777
nasa_image_2.png,2.0,262,167.0,81.5
nasa_image_2.png,5.0,647,295.6,82.2
nasa_image_2.png,4.0,529,268.5,82.5
nasa_image_2.png,3.0,402,291.0,82.0
nasa_image_2.png,1.0,136,383.0,82.0
nasa_image_2.png,1.0,129,227.0,83.0
nasa_image_2.png,13.0,2002,261.84615384615387,83.76923076923077
nasa_image_2.png,4.0,525,324.5,83.5
nasa_image_2.png,1.0,130,392.0,83.0
nasa_image_2.png,1.0,129,239.0,84.0
nasa_image_2.png,20.0,2758,280.25,85.0
nasa_image_2.png,7.0,989,376.57142857142856,84.42857142857143
nasa_image_2.png,16.0,2390,401.1875,85.125
nasa_image_2.png,1.0,132,429.0,84.0
nasa_image_2.png,2.0,264,112.5,85.0
nasa_image_2.png,2.0,272,159.5,85.0
nasa_image_2.png,1.0,129,218.0,85.0
nasa_image_2.png,3.0,410,246.66666666666666,85.33333333333333
nasa_image_2.png,6.0,808,289.0,85.83333333333333
nasa_image_2.png,1.0,137,333.0,85.0
nasa_image_2.png,4.0,549,358.25,85.25
